Entidad,Año,POB_TOT,IM,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL_5000,PO2SM,Tasa_Delictiva
SINALOA,2015,2966321.0,16.0652592115959,4.18250104016353,34.4799717777944,2.59352787663963,0.519913889894752,2.99349120676517,2.84925549745875,30.3715501839985,32.8534234831632,32.7047842638123,907.8585898154649
SONORA,2015,2850330.0,17.4070103082885,2.19441098353886,27.4263189589007,1.04682093149668,1.05036082258913,2.51703571479168,2.60712596691787,26.6337087561486,17.3884427417176,29.9264313930378,1067.244845333698
TABASCO,2015,2395272.0,14.9555131088142,5.40175783583605,33.5578890944895,1.86836478696785,0.434187341010136,10.102466609067,3.69427569632558,32.5030318256398,53.6482704260727,36.9571917470462,2458.0506931989353
TAMAULIPAS,2015,3441698.0,17.190712275749,3.03485925293348,32.272016759751,0.36969687186749,0.733854088530326,2.51082490909992,1.51719387890947,28.6942426436492,13.9193212187705,37.3857104981216,1341.9248289652376
TLAXCALA,2015,1272847.0,15.9201616701715,3.9805214194455,32.5448296235866,1.40062731648015,0.474084581910713,1.13626709710305,2.00266128104105,31.9975492172006,36.3957333442276,51.4658846926044,661.5091994560225
VERACRUZ DE IGNACIO DE LA LLAVE,2015,8112505.0,12.4082411320987,9.51237300984314,45.384072252598,1.57754371553066,1.62146267159732,13.3912909129658,6.83908124880719,32.033619382218,46.2013767634041,49.6774489869824,565.065907509456
YUCATAN,2015,2097175.0,12.6091885429939,7.46654777149315,39.1906398766501,10.1056838339162,1.08221698378918,1.64192050517399,1.67399019409144,36.4221971229629,26.2744406165437,47.6043202227064,1655.3697235566895
ZACATECAS,2015,1579209.0,15.2194374444135,4.42083221632118,39.3912619896321,4.19645702703823,0.624625332527283,3.12836110739635,1.24845205021229,24.9936652881696,48.1853890143737,45.3963408921027,1057.17482613131
AGUASCALIENTES,2016,1335156.6,18.74831516255682,2.503472706975646,28.493090574357602,0.6147170509332894,0.2897151612052704,0.7616726193179719,0.7572975837606984,20.11622361334154,24.38470481739388,39.38413775326502,1780.2406099778855
BAJA CALIFORNIA,2016,3406416.8,19.04737011270564,1.935094243820096,28.99860241177044,0.2551172278216466,0.4948077684115008,2.67408164270827,1.302028041928396,21.34369288819258,9.970379386285863,32.98658472495702,3250.0720405089596
BAJA CALIFORNIA SUR,2016,729312.6,18.1511534938714,2.471611811440866,28.347717367981662,0.39317541409976997,1.1012084618977367,6.796196714064943,4.278738651269274,24.704946067910402,14.55110024042794,26.98942712355014,3391.824027172985
CAMPECHE,2016,905617.4,14.508654583292639,6.51786502211407,34.551319033319444,3.771918526856166,1.48047641761618,5.986601547299632,2.8967844948102397,36.34019041489264,30.68515362811044,46.556404558519574,256.06840151260343
CHIAPAS,2016,5283092.0,9.159571813991745,14.7274137978946,52.34436233074236,2.8446964295318122,2.348123245725306,12.89185549638394,11.8980316070717,42.78733817405318,57.812262153636084,67.08476837367925,422.1012997691504
CHIHUAHUA,2016,3593633.0,17.46042186326,2.6598094344984697,32.107876342133935,1.388520081278092,1.776716873892988,2.242413843799292,1.843731797369812,20.44720300530328,16.51711266495582,41.155540135524,1676.0754367516104
CIUDAD DE MEXICO,2016,9209944.0,23.1431092825321,1.42962125095984,17.6419644813308,0.0519522363374757,0.0518195615506952,1.24110360741188,0.633648831513289,14.3978042602539,1.00798658493472,56.1321676549178,1955.7882219479295
COAHUILA DE ZARAGOZA,2016,2993286.2,19.229892242822842,1.924772218300272,26.74317387808792,0.556282198281227,0.26657796783911136,1.5206608196727573,0.6758127017922878,21.589375650623,11.72683733744142,34.36133938522972,1721.4859040208048
COLIMA,2016,715266.2,18.25242656247718,3.795548791240988,32.59969223859624,0.36612808857727724,0.3724078967577048,0.898662073896965,2.482237354147548,23.58454160061594,14.27929230243464,36.88798528475136,1872.4497257105118
DURANGO,2016,1770333.2,15.648336421586201,3.084438379565922,33.06664379286822,3.52672955579635,2.521771650344838,3.06791629429169,4.313790783094603,22.90948556769504,35.450452066418556,45.17969601042058,1847.9007228695707
GUANAJUATO,2016,5916328.4,15.97002274396194,6.169501597387006,40.1203106374394,3.0764239078263023,0.6165044872490776,3.8900193520183204,2.085531030953042,23.66892388994524,34.38976381368244,43.34367112332054,1822.9718282710608
GUERRERO,2016,3534737.8,7.740506486497308,13.47747047241332,47.16423728642382,12.450203395798331,2.20037108530332,14.82344877083258,14.94153456797132,40.263320927157245,49.37364420285084,58.68920138772572,1065.3689787118017
HIDALGO,2016,2903255.4,14.457634541607101,7.934805846511418,35.05218002454958,2.869249907662422,1.0200592540793256,5.436360951423598,3.1250815758188257,26.23568184865056,57.737141933257476,51.76160743399854,1170.3758477466365
JALISCO,2016,7945494.2,18.43067904057006,3.417296773074416,34.75140317073312,0.8109530840357364,0.3301651561245426,1.6191659892868795,1.60093833015221,20.50420542795202,17.23130194817276,34.68957243878008,1736.934122990109
MEXICO,2016,16348570.0,17.69295218149596,3.273367564084664,29.05673085913282,1.61063916394258,0.357148799269174,3.78008404930402,1.95178780741795,26.96115214844828,19.11589670560116,41.42203917309082,2015.9867193277455
MICHOACAN DE OCAMPO,2016,4617346.0,14.7454412997667,8.091180583733097,47.61393676749682,2.172717702988166,0.7436645506435928,3.968211220060572,5.834272766517072,26.204916827312218,39.968190731452296,50.02847363657952,724.7453407217047
MORELOS,2016,1917352.8,16.83541004998132,4.883214896267599,31.635896578412723,0.9915109423297948,0.4107986249173252,5.496425911509164,3.923941256779556,25.49045482278508,24.949391880312618,48.37817315138416,2394.342866894397
NAYARIT,2016,1191931.2,14.72750589731368,4.951022001059376,33.29236127654016,4.568090031798626,2.456456844418854,4.093490493650878,3.931210740805198,25.70619347968234,38.60987641164812,43.33456499175058,317.63578300492514
NUEVO LEON,2016,5252491.6,20.06976222797062,1.60750345059051,23.37039364202688,0.149379313788604,0.1194368618103654,1.2313705309671605,0.7990169957915376,21.11485764975458,6.384782164865458,22.27648020250014,1697.7847237299723
OAXACA,2016,4000740.8,10.088418337334444,13.28861003698026,50.283804426702005,2.3333195453966917,2.684458578687974,12.442362914172712,13.54822340153102,36.55676817671296,61.0870753978328,55.33487824741392,815.8489047828343
PUEBLA,2016,6251762.0,14.29636167105846,8.10431347187226,42.50430481673114,1.504127485201882,0.825231946584689,6.481465844625879,5.618001051768806,33.320317579813555,38.014228859724916,57.19053024041848,820.744615677948
QUERETARO,2016,2038372.0,16.3114936387848,4.57161651044236,31.7764187048744,2.95730663184144,0.670498601695643,3.23089615699663,1.52326183774329,24.2096035769861,39.0743200946638,25.9233549905725,2182.0354675201584
QUINTANA ROO,2016,1572846.6,17.11065388127868,3.732000743708642,27.36276096549942,1.9817039576223001,1.0565524062502332,2.488948215543798,2.416149651778004,34.27464468198882,13.78384388528684,34.10871886558518,1211.688412588996
SAN LUIS POTOSI,2016,2738707.0,14.766012894148659,6.06947238301176,35.87062878010792,2.185560071310336,2.0655766283725017,10.069386972950578,5.437526447806975,23.525904483048542,39.27272547363212,47.8872896529387,1048.7065611618914
SINALOA,2016,2978445.4,16.9541777834779,4.057164844759791,33.35667148808242,2.349580755417984,0.49573412046372756,2.6754268708805258,2.7316075075763,28.0703015180484,32.134656050912476,38.51685629077212,770.9055200407569
